ID,Title,Category,Price,Img,Description
Lap001,Apple MacBook Air,Laptop,1099.99,images\Products\Lap001.jpg,"13.3"" w/ Touch ID (Fall 2020) - Space Grey (Apple M1 Chip / 256GB SSD / 8GB RAM) - En"
Lap002,Apple MacBook Air,Laptop,1000,images\Products\Lap002.jpg,"Model 01, M1 chip ,256GB, 12GB memory"
Lap003,ASUS ROG Strix G15,Laptop,"1,600",images\Products\Lap003.jpg,"15.6"" Gaming Laptop - Eclipse Grey (AMD Ryzen 9 6900HX/512GB SSD /32GB RAM/RTX 3050)"
Lap004,Acer Nitro 5,Laptop,800,images\Products\Lap004.jpg,"15.6"" Gaming Laptop - Black (Intel Core i5-11400H/512GB SSD/8GB RAM/GTX 1650/Windows 11)"
Lap005,ASUS TUF Gaming,Laptop,"1,499",images\Products\Lap005.jpg,"F15 15.6"" Gaming Laptop - Mecha Grey (Intel Core i7-12700H/512GB SSD/16GB RAM/GeForce RTX 4050)"
Lap006,Lenovo IdeaPad 3i,Laptop,899,images\Products\Lap006.jpg,"15.6"" Laptop - Arctic Grey (Intel Core i7-1255U/512GB SSD/12GB RAM/Windows 11)"
Lap007,Dell Inspiron 3511,Laptop,699,images\Products\Lap007.jpg,"15.6"" Touchscreen Laptop - Black (Intel Core i5-1135G7/256GB SSD/8GB RAM/Windows 11 S)"
Lap008,Apple Macbook Air 13.3In,Laptop,869,images\Products\Lap008.jpg,"13.3"" with Retina Display, M1 Chip with 8-Core CPU and 7-Core GPU, 8GB Memory, 256GB SSD, Silver, Late 2020"
Lap009,ASUS M413DA-WS51 VivoBook,Laptop,597.98,images\Products\Lap009.jpg,"14"" FHD Ryzen 5 3500U 2.1GHz AMD Radeon Vega 8 Graphics 8GB RAM 256GB SSD Win 10 Home Blue"
Lap010,HP 14 HD,Laptop,404.99,images\Products\Lap010.jpg,"Intel Core i5-1035G1, Intel UHD Graphics, 8GB SDRAM, 256GB SSD, Natural Silver, Windows 10, 14-dq1059wm"
Lap011,"Lenovo IdeaPad 3 15"" Laptop",Laptop,504.99,images\Products\Lap011.jpg,"AMD Ryzen 5 3500U Processor, 8GB Memory, 256GB SSD, Windows 10 Home, Almond, 81W1009EUS (Google Classroom Compatible)"
Lap012,"HP 15.6"" Laptop",Laptop,325,images\Products\Lap012.jpg,"Intel Pentium Silver N5000, 4GB RAM, 128GB SSD, Windows 10 Home with Office , Scarlet Red, 15-dw0083wm"
Lap013,"ASUS CX1 15.6"" Chromebook-Silver",Laptop,599,images\Products\Lap013.jpg,Intel Pentium Silver N6000/128GB eMMC/8GB RAM/Chrome OS
Lap014,"Acer 16"" Gaming Chromebook - Silver",Laptop,849.99,images\Products\Lap014.jpg,Intel Core i5-1240P/256GB SSD/8GB RAM/Chrome OS
Lap015,Acer 317 Celeron,Laptop,479.99,images\Products\Lap015.jpg,Intel Celeron N4500/128GB eMMC/4GB RAM/Chrome OS
Lap016,Acer Swift Fun Student Laptop,Laptop,499,images\Products\Lap016.jpg,"14"" Fhd Intel Quad-core I5 11th Gen I5-1135g7 16gb Ram 512gb Ssd Intel Iris Xe Graphics Notebook"
Lap017,HP Envy x360,Laptop,1199,images\Products\Lap017.jpg,Touchscreen 2-in-1 Laptop - Silver (Intel Core i5-1240P/1TB SSD/16GB RAM/Windows 11)
Lap018,"Microsoft Surface Laptop Studio 14.4""",Laptop,2349,images\Products\Lap018.jpg,Platinum (Intel Core i7-11370H/512GB SSD/16GB RAM/Windows 11)
Lap019,ASUS Zenbook Pro 15,Laptop,1799,images\Products\Lap019.jpg,"OLED 15.6"" Touchscreen 2-in-1 Laptop - Black (Intel Evo i7-12700H/1TB SSD/16GB RAM"
Lap020,ASUS ROG Zephyrus G15,Laptop,1999.99,images\Products\Lap020.jpg,"15.6"" Gaming Laptop (AMD Ryzen 7 6800HS/512GB SSD/16GB RAM/RTX 3060/Win 11"
Desk001,Dell XPS 8940,Desktop,649.99,images\Products\Desk001.jpg,Black (Intel i9-10900K/1TB SSD/64GB RAM/GeForce RTX 3070)
Desk002,HP Omen Obelisk,Desktop,3999.99,images\Products\Desk002.jpg,Shadow Black (AMD Ryzen 9 5900X/2TB HDD/512GB SSD/32GB RAM/Radeon RX 6800 XT)
Desk003,Lenovo ThinkCentre M920x,Desktop,749.99,images\Products\Desk003.jpg,Black (Intel i7-9700/256GB SSD/16GB RAM/Intel UHD Graphics 630)
Desk004,ASUS ROG Strix GL10DH,Desktop,"1,099.99",images\Products\Desk004.jpg,Iron Grey (AMD Ryzen 7 3700X/1TB HDD/256GB SSD/16GB RAM/GeForce GTX 1660 Ti)
Desk005,Acer Predator Orion 9000,Desktop,"3,990",images\Products\Desk005.jpg,Black (Intel i9-10980XE/2TB HDD/1TB SSD/64GB RAM/GeForce RTX 3080)
Desk006,"Apple iMac 27""",Desktop,2449.99,images\Products\Desk006.jpg,Silver (Intel i7-10700K/1TB SSD/32GB RAM/Radeon Pro 5700 XT)
Desk007,CyberPowerPC Gamer Xtreme VR,Desktop,1879.99,images\Products\Desk007.jpg,Black (Intel i5-10400F/1TB HDD/240GB SSD/16GB RAM/GeForce RTX 2060)
Desk008,Alienware Aurora R10,Desktop,"1,064",images\Products\Desk008.jpg,Lunar Light (AMD Ryzen 9 3900/1TB SSD/32GB RAM/GeForce RTX 3070)
P001,,Phone,,,
P002,,Phone,,,
P003,,Phone,,,
P004,,Phone,,,
P005,,Phone,,,
P006,,Phone,,,
P007,,Phone,,,
P008,,Phone,,,
Tab001,"Apple iPad Pro 12.9"" (5th Generation)",Tablet,"1,560",images\Products\Tab001.jpg,Space Gray (M1/2TB SSD/16GB RAM)
Tab002,Samsung Galaxy Tab S8 Ultra,Tablet,"1,479.99",images\Products\Tab002.jpg,Silver (Snapdragon 8cx Gen 3/1TB SSD/16GB RAM)
Tab003,Microsoft Surface Pro 8,Tablet,1319.99,images\Products\Tab003.jpg,Matte Black (Intel i7-1185G7/1TB SSD/32GB RAM)
Tab004,Amazon Fire HD 10 Plus,Tablet,255,images\Products\Tab004.jpg,Slate (Mediatek MT8183/64GB eMMC/4GB RAM)
Tab005,Lenovo Tab P12 Pro,Tablet,655,images\Products\Tab005.jpg,Storm Grey (Snapdragon 870/256GB SSD/8GB RAM)
Tab006,Google Pixel Slate,Tablet,699.98,images\Products\Tab006.jpg,Midnight Blue (Intel i7-8500Y/256GB SSD/16GB RAM)
Tab007,Huawei MatePad Pro,Tablet,"1,258",images\Products\Tab007.jpg,Forest Green (Kirin 9000E/512GB SSD/8GB RAM)
Tab008,ASUS ZenPad 3S 10,Tablet,493,images\Products\Tab008.jpg,Glacier Silver (Mediatek MT8176/64GB eMMC/4GB RAM)

